,Year,Month,Day,GHI,Energy,conversion_efficiency
6495,2021,4,1,293,0.437000036,0.026988235229409144
8954,2013,3,1,56,0.090311959,0.025337925396366326
1352,2011,7,1,114,0.0,0.02538197271449368
8934,2013,2,1,353,0.188000008,0.025337925396366326
8933,2013,2,1,270,0.0,0.025337925396366326
8912,2013,1,1,201,0.17842418,0.025337925396366326
8864,2012,2,1,123,0.264721841,0.025337925396366326
8837,2012,1,1,196,0.384500027,0.025337925396366326
1393,2011,8,1,112,0.0,0.02538197271449368
9029,2014,1,1,104,0.0,0.025337925396366326
1394,2011,8,1,167,0.273893952,0.02538197271449368
8739,2021,12,1,86,0.0,0.021076165549330592
1452,2011,9,1,41,0.0,0.02538197271449368
1453,2011,9,1,116,0.0,0.02538197271449368
8648,2021,3,1,215,0.066,0.021076165549330592
8576,2021,1,1,35,0.0,0.021076165549330592
8575,2021,1,1,17,0.0,0.021076165549330592
1502,2011,10,1,55,0.0,0.02538197271449368
8540,2020,12,1,173,0.019000001,0.021076165549330592
8740,2021,12,1,158,0.0,0.021076165549330592
9030,2014,1,1,150,0.0,0.025337925396366326
1314,2011,6,1,288,0.355116814,0.02538197271449368
1313,2011,6,1,193,0.084952101,0.02538197271449368
9484,2019,1,1,42,0.0,0.025337925396366326
9463,2018,12,1,67,0.0,0.025337925396366326
1152,2021,5,1,2,0.0,0.006189134347155545
1153,2021,5,1,39,0.0,0.006189134347155545
9462,2018,12,1,26,0.001,0.025337925396366326
9386,2018,1,1,276,0.0,0.025337925396366326
9385,2018,1,1,203,0.107286245,0.025337925396366326
1196,2021,6,1,21,0.0,0.006189134347155545
1197,2021,6,1,58,0.0,0.006189134347155545
9362,2017,12,1,304,0.666000009,0.025337925396366326
9286,2017,1,1,192,0.123000003,0.025337925396366326
9249,2016,3,1,186,0.313000023,0.025337925396366326
9248,2016,3,1,118,0.0165,0.025337925396366326
9218,2016,1,1,265,0.020000001,0.025337925396366326
1252,2021,7,1,32,0.0,0.006189134347155545
1253,2021,7,1,94,0.0,0.006189134347155545
9141,2015,1,1,147,0.259067714,0.025337925396366326
9058,2014,2,1,86,0.0,0.025337925396366326
9057,2014,2,1,67,0.0,0.025337925396366326
8539,2020,12,1,96,0.134964749,0.021076165549330592
9517,2019,2,1,248,0.0,0.025337925396366326
8502,2020,11,1,210,0.167500004,0.021076165549330592
1542,2012,4,1,15,0.0,0.02538197271449368
7971,2017,12,1,88,0.0,0.021076165549330592
7925,2017,11,1,24,0.008,0.021076165549330592
7908,2017,10,1,312,0.225500017,0.021076165549330592
7859,2017,3,1,53,0.0,0.021076165549330592
7858,2017,3,1,42,0.0,0.021076165549330592
7829,2017,2,1,66,0.0065,0.021076165549330592
7817,2016,12,1,20,0.0,0.021076165549330592
1802,2012,9,1,13,0.0,0.02538197271449368
7972,2017,12,1,163,0.023500001,0.021076165549330592
1803,2012,9,1,40,0.0,0.02538197271449368
7759,2016,4,1,205,0.0185,0.021076165549330592
7740,2016,3,1,91,0.0,0.021076165549330592
7711,2016,2,1,31,0.0,0.021076165549330592
1852,2012,10,1,15,0.0,0.02538197271449368
7688,2015,12,1,164,0.093500003,0.021076165549330592
7664,2015,11,1,195,0.1505,0.021076165549330592
1890,2013,4,1,19,0.0,0.02538197271449368
1891,2013,4,1,95,0.0,0.02538197271449368
7789,2016,11,1,106,0.228000015,0.021076165549330592
3491,2019,9,1,113,0.0,0.02538197271449368
1741,2012,8,1,205,0.213332877,0.02538197271449368
1740,2012,8,1,116,0.0,0.02538197271449368
1543,2012,4,1,81,0.0,0.02538197271449368
8446,2020,3,1,194,0.183500007,0.021076165549330592
8398,2020,1,1,119,0.107756153,0.021076165549330592
8373,2019,12,1,26,0.012500001,0.021076165549330592
8335,2019,11,1,276,0.082000002,0.021076165549330592
8334,2019,11,1,148,0.0,0.021076165549330592
1601,2012,5,1,19,0.0,0.02538197271449368
1602,2012,5,1,73,0.055000003,0.02538197271449368
8283,2019,3,1,168,0.161000013,0.021076165549330592
8237,2019,2,1,164,0.0,0.021076165549330592
8236,2019,2,1,82,0.0,0.021076165549330592
1651,2012,6,1,194,0.124047622,0.02538197271449368
8143,2018,11,1,118,0.0,0.021076165549330592
8132,2018,9,1,30,0.0,0.021076165549330592
1692,2012,7,1,150,0.0625,0.02538197271449368
8092,2018,3,1,202,0.0,0.021076165549330592
8045,2018,2,1,173,0.0,0.021076165549330592
8044,2018,2,1,63,0.0,0.021076165549330592
8011,2018,1,1,125,0.134107798,0.021076165549330592
8476,2020,7,1,147,0.0055,0.021076165549330592
9518,2019,2,1,328,0.0,0.025337925396366326
9563,2019,11,1,319,0.298000038,0.025337925396366326
9564,2019,11,1,350,0.645500064,0.025337925396366326
10968,2018,1,1,474,0.329999983,0.02148469161396403
10967,2018,1,1,477,0.288000017,0.02148469161396403
10924,2016,1,1,455,0.719500065,0.02148469161396403
10923,2016,1,1,461,0.616000056,0.02148469161396403
641,2017,5,1,8,0.0,0.006189134347155545
10872,2014,2,1,226,0.032000002,0.02148469161396403
