,Year,Month,Day,GHI,Energy,conversion_efficiency
5036,2018,3,1,110,0.147568986,0.04379674236818537
7369,2020,3,1,279,0.08600001,0.04305371217555111
7368,2020,3,1,194,0.0,0.04305371217555111
7340,2020,2,1,105,0.026943706,0.04305371217555111
7317,2020,1,1,119,0.188571006,0.04305371217555111
7287,2019,12,1,26,0.018277779,0.04305371217555111
1293,2021,6,1,21,0.0,0.009502088949502536
1232,2021,5,1,39,0.0,0.009502088949502536
1294,2021,6,1,58,0.0,0.009502088949502536
7198,2019,3,1,175,0.292444468,0.04305371217555111
7197,2019,3,1,168,0.0,0.04305371217555111
7155,2019,2,1,164,0.0,0.04305371217555111
7154,2019,2,1,82,0.0,0.04305371217555111
1353,2021,7,1,32,0.0,0.009502088949502536
1354,2021,7,1,94,0.0,0.009502088949502536
7259,2019,11,1,148,0.0,0.04305371217555111
1423,2011,7,1,114,0.038466033,0.045469535046767755
1231,2021,5,1,2,0.0,0.009502088949502536
7439,2020,12,1,96,0.16945371,0.04305371217555111
1058,2019,9,1,3,0.0,0.009502088949502536
7779,2014,2,1,86,0.0,0.05077127977322454
7778,2014,2,1,67,0.0,0.05077127977322454
7760,2014,1,1,150,0.0,0.05077127977322454
7759,2014,1,1,104,0.0,0.05077127977322454
1085,2020,6,1,9,0.0,0.009502088949502536
7412,2020,11,1,210,0.393999994,0.04305371217555111
1086,2020,6,1,10,0.0,0.009502088949502536
7568,2021,3,1,215,0.441000015,0.04305371217555111
1168,2020,8,1,3,0.0,0.009502088949502536
1169,2020,8,1,30,0.0,0.009502088949502536
7480,2021,1,1,35,0.0,0.04305371217555111
7479,2021,1,1,17,0.0,0.04305371217555111
7440,2020,12,1,173,0.103055567,0.04305371217555111
7705,2013,2,1,270,0.488055587,0.05077127977322454
6981,2018,2,1,173,0.185000002,0.04305371217555111
6980,2018,2,1,63,0.0,0.04305371217555111
1456,2011,8,1,112,0.000922562,0.045469535046767755
6594,2014,3,1,94,0.047666669,0.04305371217555111
1657,2012,5,1,19,0.0,0.045469535046767755
6551,2014,2,1,28,0.0,0.04305371217555111
6550,2014,2,1,33,0.0,0.04305371217555111
3422,2020,9,1,11,0.0,0.045469535046767755
6489,2014,1,1,41,0.0,0.04305371217555111
6612,2014,11,1,209,0.399193734,0.04305371217555111
6488,2014,1,1,26,0.0,0.04305371217555111
6427,2013,12,1,160,0.140500009,0.04305371217555111
6426,2013,12,1,87,0.0,0.04305371217555111
1755,2012,8,1,116,0.0,0.045469535046767755
1756,2012,8,1,205,0.457568496,0.045469535046767755
6356,2013,3,1,18,0.025621021,0.04305371217555111
6355,2013,3,1,11,0.0,0.04305371217555111
1718,2012,7,1,150,0.217111111,0.045469535046767755
6622,2014,12,1,104,0.237247467,0.04305371217555111
6648,2015,3,1,36,0.027678667,0.04305371217555111
6666,2015,10,1,327,0.009944445,0.04305371217555111
6942,2018,1,1,125,0.187748641,0.04305371217555111
6899,2017,12,1,88,0.0,0.04305371217555111
1509,2011,9,1,41,0.0,0.045469535046767755
1510,2011,9,1,116,0.0,0.045469535046767755
6836,2017,4,1,423,0.762000024,0.04305371217555111
6835,2017,4,1,367,0.476500034,0.04305371217555111
6802,2017,1,1,117,0.010333333,0.04305371217555111
6780,2016,11,1,106,0.243500024,0.04305371217555111
1559,2011,10,1,55,0.0,0.045469535046767755
6730,2016,3,1,69,0.112500012,0.04305371217555111
6714,2016,2,1,31,0.056166667,0.04305371217555111
6698,2015,12,1,164,0.013611111,0.04305371217555111
1599,2012,4,1,15,0.0,0.045469535046767755
1600,2012,4,1,81,0.0,0.045469535046767755
6667,2015,10,1,418,0.420222223,0.04305371217555111
1021,2019,8,1,46,0.0,0.009502088949502536
1815,2012,9,1,13,0.0,0.045469535046767755
1020,2019,8,1,4,0.0,0.009502088949502536
7885,2016,1,1,194,0.322000027,0.05077127977322454
519,2013,7,1,31,0.0,0.009502088949502536
520,2013,7,1,98,0.0,0.009502088949502536
8806,2018,1,1,464,0.194555566,0.06399710912875863
8805,2018,1,1,437,0.059000004,0.06399710912875863
8794,2017,4,1,651,1.097166657,0.06399710912875863
8753,2015,2,1,107,0.148317322,0.06399710912875863
8856,2018,12,1,145,0.15200001,0.06399710912875863
8728,2014,2,1,129,0.265833348,0.06399710912875863
571,2013,8,1,46,0.0,0.009502088949502536
8657,2021,2,1,167,0.0,0.05567647995385754
606,2017,5,1,8,0.0,0.009502088949502536
8574,2018,12,1,152,0.281500012,0.05567647995385754
8573,2018,12,1,133,0.145500004,0.05567647995385754
642,2017,6,1,110,0.052085396,0.009502088949502536
8727,2014,2,1,131,0.07016667,0.06399710912875863
669,2017,7,1,95,0.026791604,0.009502088949502536
8857,2018,12,1,199,0.247500017,0.06399710912875863
460,2013,6,1,75,0.0,0.009502088949502536
321,2012,7,1,21,0.0,0.009502088949502536
322,2012,7,1,77,0.0,0.009502088949502536
9205,2014,2,1,120,0.231833339,0.06914516321811394
9204,2014,2,1,166,0.201666683,0.06914516321811394
373,2012,8,1,43,0.0,0.009502088949502536
407,2013,5,1,39,0.0,0.009502088949502536
8894,2019,10,1,392,0.853000045,0.06399710912875863
9097,2018,12,1,198,0.397000015,0.0667333442628106
9056,2018,1,1,477,0.278055578,0.0667333442628106
9006,2015,2,1,102,0.24089627,0.0667333442628106
8987,2014,2,1,226,0.212333336,0.0667333442628106
8986,2014,2,1,248,0.127166674,0.0667333442628106
8985,2014,1,1,436,0.493833363,0.0667333442628106
459,2013,6,1,26,0.0,0.009502088949502536
9096,2018,12,1,159,0.234000012,0.0667333442628106
8508,2018,1,1,396,0.011833334,0.05567647995385754
8507,2018,1,1,342,0.009944445,0.05567647995385754
8486,2017,4,1,615,0.724000037,0.05567647995385754
849,2018,8,1,4,0.0,0.009502088949502536
850,2018,8,1,46,0.0,0.009502088949502536
8171,2020,1,1,193,0.0,0.05077127977322454
8104,2019,2,1,248,0.482500017,0.05077127977322454
875,2019,5,1,1,0.0,0.009502088949502536
876,2019,5,1,16,0.0,0.009502088949502536
8172,2020,1,1,263,0.087722227,0.05077127977322454
8073,2018,12,1,67,0.075500004,0.05077127977322454
7985,2018,1,1,276,0.0,0.05077127977322454
7984,2018,1,1,203,0.187748671,0.05077127977322454
7952,2017,4,1,551,0.503000021,0.05077127977322454
958,2019,7,1,17,0.0,0.009502088949502536
959,2019,7,1,52,0.0,0.009502088949502536
7886,2016,1,1,265,0.577499986,0.05077127977322454
8072,2018,12,1,26,0.0,0.05077127977322454
8193,2020,2,1,134,0.187999994,0.05077127977322454
8199,2020,3,1,351,0.859500051,0.05077127977322454
8235,2021,1,1,51,0.109833337,0.05077127977322454
8485,2017,4,1,591,0.966277838,0.05567647995385754
689,2017,8,1,40,0.0,0.009502088949502536
8426,2015,2,1,140,0.099907927,0.05567647995385754
8425,2015,2,1,34,0.046794184,0.05567647995385754
730,2018,5,1,1,0.0,0.009502088949502536
731,2018,5,1,13,0.0,0.009502088949502536
8381,2014,2,1,155,0.065222226,0.05567647995385754
8380,2014,2,1,122,0.002722222,0.05567647995385754
8376,2014,1,1,125,0.111833334,0.05567647995385754
8375,2014,1,1,117,0.036500003,0.05567647995385754
773,2018,6,1,101,0.178953499,0.009502088949502536
8265,2021,2,1,173,0.189018294,0.05077127977322454
8264,2021,2,1,129,0.0,0.05077127977322454
801,2018,7,1,17,0.0,0.009502088949502536
802,2018,7,1,56,0.0,0.009502088949502536
7842,2015,2,1,74,0.0,0.05077127977322454
9387,2014,2,1,118,0.2438889,0.05883034848855613
1816,2012,9,1,40,0.0,0.045469535046767755
6316,2013,2,1,96,0.0,0.04305371217555111
4426,2013,11,1,19,0.0,0.04379674236818537
4425,2013,11,1,12,0.0,0.04379674236818537
2816,2018,7,1,142,0.324000001,0.045469535046767755
4367,2013,10,1,130,0.0,0.04379674236818537
2850,2018,8,1,120,0.0,0.045469535046767755
4305,2013,4,1,195,0.123050295,0.04379674236818537
2795,2018,6,1,274,0.580532491,0.045469535046767755
2884,2018,9,1,15,0.002166667,0.045469535046767755
4251,2013,3,1,15,0.0,0.04379674236818537
4216,2013,2,1,22,0.0,0.04379674236818537
2912,2018,10,1,11,0.0,0.045469535046767755
4205,2012,12,1,7,0.0,0.04379674236818537
4165,2012,11,1,66,0.0,0.04379674236818537
4164,2012,11,1,10,0.0,0.04379674236818537
4252,2013,3,1,45,0.0,0.04379674236818537
4108,2012,10,1,122,0.118171923,0.04379674236818537
2794,2018,6,1,183,0.037020408,0.045469535046767755
4478,2014,2,1,8,0.0,0.04379674236818537
2618,2017,8,1,196,0.405166686,0.045469535046767755
4695,2016,4,1,53,0.009166667,0.04379674236818537
2662,2017,10,1,22,0.0,0.045469535046767755
4646,2015,9,1,283,0.654088378,0.04379674236818537
4645,2015,9,1,192,0.09428823,0.04379674236818537
4617,2015,4,1,175,0.10905356,0.04379674236818537
4466,2013,12,1,24,0.0,0.04379674236818537
4584,2014,10,1,12,0.024500001,0.04379674236818537
2697,2018,4,1,38,0.0,0.045469535046767755
4568,2014,9,1,210,0.147500008,0.04379674236818537
4541,2014,4,1,51,0.010833334,0.04379674236818537
4514,2014,3,1,40,0.0,0.04379674236818537
4513,2014,3,1,12,0.0,0.04379674236818537
2755,2018,5,1,40,0.0,0.045469535046767755
2696,2018,4,1,8,0.0,0.045469535046767755
4107,2012,10,1,41,0.0,0.04379674236818537
2979,2019,4,1,9,0.0,0.045469535046767755
2980,2019,4,1,81,0.0,0.045469535046767755
3225,2019,10,1,1,0.0,0.045469535046767755
3226,2019,10,1,14,0.0,0.045469535046767755
3668,2021,7,1,264,0.060444448,0.045469535046767755
3667,2021,7,1,174,0.0,0.045469535046767755
3262,2020,4,1,81,0.188673437,0.045469535046767755
3604,2021,5,1,178,0.134000003,0.045469535046767755
3700,2021,8,1,93,0.076589867,0.045469535046767755
3603,2021,5,1,109,0.0,0.045469535046767755
3292,2020,5,1,178,0.007488382,0.045469535046767755
3546,2021,4,1,92,0.0,0.045469535046767755
3545,2021,4,1,18,0.0,0.045469535046767755
3482,2020,10,1,31,0.0,0.045469535046767755
3481,2020,10,1,1,0.0,0.045469535046767755
3366,2020,8,1,68,0.0,0.045469535046767755
3291,2020,5,1,80,0.188707203,0.045469535046767755
3701,2021,8,1,175,0.212444454,0.045469535046767755
3738,2021,9,1,121,0.0005,0.045469535046767755
3179,2019,9,1,113,0.0,0.045469535046767755
4046,2012,4,1,171,0.116545618,0.04379674236818537
3037,2019,5,1,45,0.0,0.045469535046767755
3038,2019,5,1,57,0.0,0.045469535046767755
3997,2012,3,1,107,0.0,0.04379674236818537
3996,2012,3,1,8,0.0,0.04379674236818537
3960,2012,2,1,5,0.0,0.04379674236818537
3948,2011,12,1,11,0.0,0.04379674236818537
3907,2011,11,1,109,0.0,0.04379674236818537
3906,2011,11,1,36,0.0,0.04379674236818537
3128,2019,8,1,120,0.003444445,0.045469535046767755
3848,2011,10,1,239,0.40827781,0.04379674236818537
3847,2011,10,1,142,0.0,0.04379674236818537
3768,2021,10,1,45,0.0,0.045469535046767755
3767,2021,10,1,2,0.0,0.045469535046767755
3178,2019,9,1,41,0.0,0.045469535046767755
2617,2017,8,1,110,0.0,0.045469535046767755
6317,2013,2,1,185,0.0,0.04305371217555111
4728,2016,9,1,225,0.028888891,0.04379674236818537
4772,2017,3,1,8,0.0,0.04379674236818537
2064,2013,8,1,122,0.0,0.045469535046767755
2065,2013,8,1,212,0.422438115,0.045469535046767755
5832,2021,10,1,110,0.0,0.04379674236818537
5794,2021,7,1,358,0.302277803,0.04379674236818537
5767,2021,4,1,188,0.050833337,0.04379674236818537
2123,2013,9,1,21,0.0,0.045469535046767755
5885,2021,11,1,12,0.0,0.04379674236818537
2124,2013,9,1,58,0.047666669,0.045469535046767755
5713,2021,3,1,36,0.0,0.04379674236818537
5672,2021,1,1,1,0.0,0.04379674236818537
5648,2020,11,1,121,0.07646542,0.04379674236818537
2173,2013,10,1,48,0.0,0.045469535046767755
5603,2020,10,1,228,0.201666668,0.04379674236818537
5602,2020,10,1,114,0.0,0.04379674236818537
5714,2021,3,1,118,0.0,0.04379674236818537
5551,2020,5,1,189,0.364833355,0.04379674236818537
5886,2021,11,1,22,0.0,0.04379674236818537
5968,2011,12,1,44,0.0,0.04305371217555111
6255,2013,1,1,124,0.002050554,0.04305371217555111
6254,2013,1,1,50,0.0,0.04305371217555111
1865,2012,10,1,15,0.0,0.045469535046767755
6193,2012,12,1,10,0.0,0.04305371217555111
6161,2012,11,1,128,0.169638634,0.04305371217555111
1903,2013,4,1,19,0.0,0.045469535046767755
2031,2013,7,1,182,0.410140336,0.045469535046767755
1904,2013,4,1,95,0.0,0.045469535046767755
6091,2012,2,1,51,0.0,0.04305371217555111
6090,2012,2,1,51,0.0,0.04305371217555111
1962,2013,5,1,72,0.0,0.045469535046767755
1963,2013,5,1,138,0.258666545,0.045469535046767755
6029,2012,1,1,120,0.001166667,0.04305371217555111
6028,2012,1,1,48,0.0,0.04305371217555111
6132,2012,3,1,198,0.045236941,0.04305371217555111
2226,2014,6,1,180,0.002833334,0.045469535046767755
2227,2014,6,1,270,0.343500018,0.045469535046767755
5533,2020,4,1,160,0.105500005,0.04379674236818537
5075,2018,4,1,65,0.005981447,0.04379674236818537
4996,2018,2,1,11,0.0,0.04379674236818537
4975,2017,12,1,25,0.0,0.04379674236818537
4935,2017,11,1,17,0.0,0.04379674236818537
4934,2017,11,1,13,0.0,0.04379674236818537
2516,2017,5,1,18,0.0,0.045469535046767755
5143,2018,10,1,24,0.0,0.04379674236818537
2517,2017,5,1,34,0.0,0.045469535046767755
4845,2017,5,1,159,0.230833337,0.04379674236818537
2556,2017,6,1,197,0.259722233,0.045469535046767755
4825,2017,4,1,176,0.0,0.04379674236818537
4824,2017,4,1,88,0.160661817,0.04379674236818537
2581,2017,7,1,178,0.214000016,0.045469535046767755
4773,2017,3,1,17,0.0,0.04379674236818537
4879,2017,10,1,56,0.0,0.04379674236818537
5198,2018,11,1,20,0.0,0.04379674236818537
5199,2018,11,1,68,0.0,0.04379674236818537
5222,2019,2,1,17,0.0,0.04379674236818537
2247,2014,7,1,147,0.205000013,0.045469535046767755
5496,2020,3,1,86,0.188638568,0.04379674236818537
5449,2019,11,1,100,0.0,0.04379674236818537
5448,2019,11,1,26,0.0,0.04379674236818537
2300,2015,5,1,227,0.399236262,0.045469535046767755
5398,2019,10,1,101,0.0,0.04379674236818537
2322,2015,6,1,195,0.247931167,0.045469535046767755
5347,2019,5,1,138,0.213500023,0.04379674236818537
5346,2019,5,1,69,0.041500002,0.04379674236818537
2338,2015,7,1,140,0.301623076,0.045469535046767755
5323,2019,4,1,270,0.631000042,0.04379674236818537
5322,2019,4,1,175,0.0,0.04379674236818537
2368,2015,8,1,214,0.405828446,0.045469535046767755
5269,2019,3,1,72,0.0,0.04379674236818537
5268,2019,3,1,21,0.0,0.04379674236818537
4729,2016,9,1,323,0.68933332,0.04379674236818537
9388,2014,2,1,149,0.173888892,0.05883034848855613
1692,2012,6,1,194,0.323833346,0.045469535046767755
3421,2020,9,1,6,0.0,0.045469535046767755
120,2011,7,1,11,0.0,0.009502088949502536
9555,2014,2,1,146,0.177944452,0.0605530717000828
9903,2015,2,1,21,0.045486107,0.025525041385564398
121,2011,7,1,43,0.0,0.009502088949502536
16,2019,7,1,1,0.0,0.0
9787,2018,1,1,98,0.073944449,0.06037756670715741
10001,2016,4,1,67,0.078333341,0.04651178343067734
9726,2014,2,1,85,0.09644445,0.06037756670715741
9727,2014,2,1,59,0.067333333,0.06037756670715741
9556,2014,2,1,115,0.209111109,0.0605530717000828
9889,2014,2,1,20,0.001555556,0.025525041385564398
7,2018,7,1,1,0.0,0.0
9744,2015,2,1,35,0.078191645,0.06037756670715741
9743,2015,2,1,118,0.13623634,0.06037756670715741
62,2021,7,1,1,0.0,0.0
9788,2018,1,1,28,0.0,0.06037756670715741
261,2012,6,1,36,0.0,0.009502088949502536
9725,2014,1,1,39,0.079999998,0.06037756670715741
9817,2018,10,1,211,0.156000003,0.06037756670715741
37,2021,6,1,1,0.0,0.0
208,2012,5,1,14,0.0,0.009502088949502536
262,2012,6,1,107,0.0,0.009502088949502536
9617,2018,1,1,176,0.120222226,0.0605530717000828
173,2011,8,1,26,0.0,0.009502088949502536
2757,2018,5,2,191,0.460703939,0.045469535046767755
1693,2012,6,2,122,0.117000006,0.045469535046767755
6491,2014,1,2,50,0.0,0.04305371217555111
6490,2014,1,2,48,0.0,0.04305371217555111
6699,2015,12,2,5,0.004333334,0.04305371217555111
733,2018,5,2,29,0.0,0.009502088949502536
732,2018,5,2,2,0.0,0.009502088949502536
2699,2018,4,2,81,0.0,0.045469535046767755
2698,2018,4,2,19,0.0,0.045469535046767755
6731,2016,3,2,161,0.390388906,0.04305371217555111
3769,2021,10,2,1,0.0,0.045469535046767755
20,2020,6,2,2,0.0,0.0
1719,2012,7,2,160,0.164333329,0.045469535046767755
6749,2016,4,2,409,0.072833337,0.04305371217555111
8407,2014,3,2,304,0.632611156,0.05567647995385754
3180,2019,9,2,42,0.0,0.045469535046767755
6750,2016,4,2,510,0.656777859,0.04305371217555111
63,2011,6,2,16,0.0,0.009502088949502536
4585,2014,10,2,135,0.133625016,0.04379674236818537
3770,2021,10,2,20,0.0,0.045469535046767755
6552,2014,2,2,100,0.0,0.04305371217555111
803,2018,7,2,33,0.0,0.009502088949502536
8383,2014,2,2,296,0.588722229,0.05567647995385754
9519,2021,2,2,294,0.62277782,0.05883034848855613
4515,2014,3,2,17,0.0,0.04379674236818537
4516,2014,3,2,124,0.0,0.04379674236818537
9692,2021,2,2,146,0.186166674,0.0605530717000828
8266,2021,2,2,114,0.189019397,0.05077127977322454
804,2018,7,2,100,0.0,0.009502088949502536
8267,2021,2,2,139,0.0,0.05077127977322454
4542,2014,4,2,157,0.100388899,0.04379674236818537
1602,2012,4,2,79,0.0,0.045469535046767755
1601,2012,4,2,16,0.0,0.045469535046767755
6596,2014,3,2,22,0.003777778,0.04305371217555111
9520,2021,2,2,264,0.398888916,0.05883034848855613
3815,2011,9,2,279,0.594388962,0.04379674236818537
9691,2021,2,2,205,0.287333339,0.0605530717000828
4569,2014,9,2,216,0.224944472,0.04379674236818537
8429,2015,11,2,474,0.310500026,0.05567647995385754
1658,2012,5,2,28,0.0,0.045469535046767755
1659,2012,5,2,4,0.0,0.045469535046767755
6679,2015,11,2,229,0.0,0.04305371217555111
2756,2018,5,2,100,0.0,0.045469535046767755
3800,2011,6,2,33,0.0,0.04379674236818537
8377,2014,1,2,90,0.19083333,0.05567647995385754
8378,2014,1,2,232,0.38833335,0.05567647995385754
8382,2014,2,2,292,0.225833341,0.05567647995385754
6595,2014,3,2,222,0.0,0.04305371217555111
6553,2014,2,2,189,0.0,0.04305371217555111
6428,2013,12,2,23,0.0,0.04305371217555111
64,2011,6,2,35,0.0,0.009502088949502536
8596,2019,2,2,174,0.417000026,0.05567647995385754
3228,2019,10,2,29,0.0,0.045469535046767755
8605,2019,5,2,605,1.117500067,0.05567647995385754
8616,2019,11,2,491,0.0228,0.05567647995385754
8617,2019,11,2,531,0.045000002,0.05567647995385754
8622,2019,12,2,237,0.061500002,0.05567647995385754
6257,2013,1,2,117,0.010337458,0.04305371217555111
6256,2013,1,2,46,0.0,0.04305371217555111
4747,2016,10,2,211,0.400562525,0.04379674236818537
1866,2012,10,2,42,0.0,0.045469535046767755
607,2017,5,2,47,0.0,0.009502088949502536
4774,2017,3,2,20,0.0,0.04379674236818537
4775,2017,3,2,77,0.0,0.04379674236818537
8658,2021,2,2,181,0.01838889,0.05567647995385754
8659,2021,2,2,162,0.069166675,0.05567647995385754
6195,2012,12,2,79,0.0,0.04305371217555111
6194,2012,12,2,42,0.0,0.04305371217555111
1905,2013,4,2,21,0.0,0.045469535046767755
1906,2013,4,2,98,0.0,0.045469535046767755
3669,2021,7,2,111,0.160333335,0.045469535046767755
