,Year,Month,Day,Hour,GHI,Energy,conversion_efficiency
9846,2021,6,19,4,1,0.0,0.049977853866393245
9801,2021,5,29,4,2,0.0,0.049977853866393245
9834,2021,6,13,4,2,0.0,0.049977853866393245
9799,2021,5,28,4,1,0.0,0.049977853866393245
9836,2021,6,14,4,1,0.0,0.049977853866393245
9838,2021,6,15,4,2,0.0,0.049977853866393245
9139,2020,6,7,4,2,0.0,0.049977853866393245
9840,2021,6,16,4,2,0.0,0.049977853866393245
9842,2021,6,17,4,1,0.0,0.049977853866393245
8664,2019,6,22,4,1,0.0,0.049977853866393245
8666,2019,6,23,4,1,0.0,0.049977853866393245
9844,2021,6,18,4,2,0.0,0.049977853866393245
8670,2019,6,24,4,1,0.0,0.049977853866393245
8673,2019,6,25,4,2,0.0,0.049977853866393245
9824,2021,6,8,4,1,0.0,0.049977853866393245
9144,2020,6,8,4,2,0.0,0.049977853866393245
9136,2020,6,6,4,1,0.0,0.049977853866393245
8678,2019,6,27,4,2,0.0,0.049977853866393245
9120,2020,5,29,4,2,0.0,0.049977853866393245
9832,2021,6,12,4,2,0.0,0.049977853866393245
9130,2020,6,3,4,1,0.0,0.049977853866393245
9822,2021,6,7,4,1,0.0,0.049977853866393245
9132,2020,6,4,4,1,0.0,0.049977853866393245
9820,2021,6,6,4,2,0.0,0.049977853866393245
9128,2020,6,2,4,2,0.0,0.049977853866393245
9818,2021,6,5,4,2,0.0,0.049977853866393245
9828,2021,6,10,4,2,0.0,0.049977853866393245
9816,2021,6,4,4,2,0.0,0.049977853866393245
9814,2021,6,3,4,2,0.0,0.049977853866393245
9125,2020,5,31,4,2,0.0,0.049977853866393245
9812,2021,6,2,4,1,0.0,0.049977853866393245
9830,2021,6,11,4,2,0.0,0.049977853866393245
9810,2021,6,1,4,1,0.0,0.049977853866393245
9808,2021,5,31,4,1,0.0,0.049977853866393245
9122,2020,5,30,4,2,0.0,0.049977853866393245
9805,2021,5,30,4,2,0.0,0.049977853866393245
8680,2019,6,28,4,1,0.0,0.049977853866393245
9826,2021,6,9,4,2,0.0,0.049977853866393245
9866,2021,6,27,4,2,0.0,0.049977853866393245
8042,2018,6,23,4,2,0.0,0.049977853866393245
9871,2021,6,30,4,1,0.0,0.049977853866393245
9868,2021,6,28,4,1,0.0,0.049977853866393245
9163,2020,6,14,4,2,0.0,0.049977853866393245
8058,2018,6,29,4,1,0.0,0.049977853866393245
8681,2019,6,29,4,1,0.0,0.049977853866393245
9161,2020,6,13,4,2,0.0,0.049977853866393245
9873,2021,7,1,4,1,0.0,0.049977853866393245
8050,2018,6,25,4,1,0.0,0.049977853866393245
9158,2020,6,12,4,2,0.0,0.049977853866393245
8046,2018,6,24,4,2,0.0,0.049977853866393245
9150,2020,6,11,4,2,0.0,0.049977853866393245
9165,2020,6,15,4,2,0.0,0.049977853866393245
8064,2018,7,1,4,1,0.0,0.049977853866393245
9854,2021,6,22,4,2,0.0,0.049977853866393245
9148,2020,6,10,4,2,0.0,0.049977853866393245
9852,2021,6,21,4,2,0.0,0.049977853866393245
8060,2018,6,30,4,1,0.0,0.049977853866393245
8055,2018,6,28,4,2,0.0,0.049977853866393245
8690,2019,7,1,4,1,0.0,0.049977853866393245
9850,2021,6,20,4,1,0.0,0.049977853866393245
8683,2019,6,30,4,1,0.0,0.049977853866393245
9146,2020,6,9,4,1,0.0,0.049977853866393245
8053,2018,6,27,4,2,0.0,0.049977853866393245
7977,2018,5,2,5,29,0.0,0.049977853866393245
1153,2013,5,31,5,32,0.0,0.050892634134724696
7970,2018,4,28,5,37,0.0,0.049977853866393245
