,Year,Month,Day,Hour,GHI,Energy,conversion_efficiency
12646,2021,5,30,4,2,0.0,0.0
12681,2021,6,13,4,2,0.0,0.0
11660,2020,6,11,4,2,0.0,0.0
11663,2020,6,12,4,2,0.0,0.0
11673,2020,6,14,4,2,0.0,0.0
12641,2021,5,28,4,1,0.0,0.0
11675,2020,6,15,4,2,0.0,0.0
12643,2021,5,29,4,2,0.0,0.0
11677,2020,6,16,4,2,0.0,0.0
11679,2020,6,17,4,2,0.0,0.0
11682,2020,6,18,4,2,0.0,0.0
11657,2020,6,10,4,2,0.0,0.0
10392,2018,6,30,4,1,0.0,0.0
11685,2020,6,19,4,1,0.0,0.0
11089,2019,6,25,4,2,0.0,0.0
11687,2020,6,20,4,2,0.0,0.0
12649,2021,6,1,4,1,0.0,0.0
11689,2020,6,21,4,2,0.0,0.0
11691,2020,6,24,4,2,0.0,0.0
11087,2019,6,24,4,1,0.0,0.0
11084,2019,6,23,4,1,0.0,0.0
11695,2020,6,26,4,1,0.0,0.0
11081,2019,6,22,4,1,0.0,0.0
11093,2019,6,27,4,2,0.0,0.0
11655,2020,6,9,4,1,0.0,0.0
11652,2020,6,8,4,2,0.0,0.0
11649,2020,6,7,4,2,0.0,0.0
12698,2021,6,20,4,1,0.0,0.0
10372,2018,6,21,4,2,0.0,0.0
12693,2021,6,18,4,2,0.0,0.0
10377,2018,6,23,4,2,0.0,0.0
12703,2021,6,21,4,2,0.0,0.0
12672,2021,6,10,4,2,0.0,0.0
10379,2018,6,24,4,2,0.0,0.0
12688,2021,6,16,4,2,0.0,0.0
12706,2021,6,22,4,2,0.0,0.0
10384,2018,6,27,4,2,0.0,0.0
12685,2021,6,15,4,2,0.0,0.0
12713,2021,6,27,4,2,0.0,0.0
10387,2018,6,28,4,2,0.0,0.0
12716,2021,6,28,4,1,0.0,0.0
11630,2020,5,29,4,2,0.0,0.0
11635,2020,6,3,4,1,0.0,0.0
12720,2021,6,30,4,1,0.0,0.0
12722,2021,7,1,4,1,0.0,0.0
11640,2020,6,4,4,1,0.0,0.0
10390,2018,6,29,4,1,0.0,0.0
12669,2021,6,9,4,2,0.0,0.0
11646,2020,6,6,4,1,0.0,0.0
12666,2021,6,8,4,1,0.0,0.0
11080,2019,6,21,4,1,0.0,0.0
11077,2019,6,20,4,1,0.0,0.0
12695,2021,6,19,4,1,0.0,0.0
12653,2021,6,3,4,2,0.0,0.0
12678,2021,6,12,4,2,0.0,0.0
12661,2021,6,6,4,2,0.0,0.0
12664,2021,6,7,4,1,0.0,0.0
12651,2021,6,2,4,1,0.0,0.0
11698,2020,6,29,4,1,0.0,0.0
12655,2021,6,4,4,2,0.0,0.0
12658,2021,6,5,4,2,0.0,0.0
12675,2021,6,11,4,2,0.0,0.0
1513,2013,6,23,5,28,0.0,0.0
1526,2013,6,27,5,34,0.0,0.0
10339,2018,5,26,5,93,0.16106917,0.0697873781015669
10338,2018,5,24,5,82,0.161067247,0.0791481545954854
10269,2018,4,12,5,4,0.0,0.0
1528,2013,6,28,5,34,0.0,0.0
10337,2018,5,22,5,65,0.134221137,0.08320606177074136
1506,2013,6,20,5,35,0.0,0.0
1504,2013,6,19,5,36,0.0,0.0
6738,2011,8,19,5,13,0.0,0.0
10334,2018,5,19,5,80,0.134218723,0.06760370929760132
10332,2018,5,16,5,77,0.0,0.0
1530,2013,6,29,5,31,0.0,0.0
10271,2018,4,13,5,1,0.0,0.0
10331,2018,5,15,5,8,0.0,0.0
